feature,importance
earliest_cr_line_Jan_05,0.0
earliest_cr_line_Jan_06,0.0
earliest_cr_line_Jan_07,0.0
earliest_cr_line_Jan_08,0.0
earliest_cr_line_Jan_09,0.0
earliest_cr_line_Jan_10,0.0
earliest_cr_line_Jan_12,0.0
earliest_cr_line_Jan_50,0.0
earliest_cr_line_Jan_55,0.0
earliest_cr_line_Jan_56,0.0
earliest_cr_line_Jan_57,0.0
earliest_cr_line_Jan_58,0.0
earliest_cr_line_Jan_59,0.0
earliest_cr_line_Jan_60,0.0
earliest_cr_line_Jan_61,0.0
earliest_cr_line_Jan_62,0.0
earliest_cr_line_Jan_63,0.0
earliest_cr_line_Jan_64,0.0
earliest_cr_line_Jan_65,0.0
earliest_cr_line_Jan_66,0.0
earliest_cr_line_Jan_67,0.0
earliest_cr_line_Jan_69,0.0
earliest_cr_line_Jan_70,0.0
earliest_cr_line_Jan_71,0.0
earliest_cr_line_Jan_72,0.0
earliest_cr_line_Jan_73,0.0
earliest_cr_line_Jan_74,0.0
earliest_cr_line_Jan_75,0.0
earliest_cr_line_Jan_76,0.0
earliest_cr_line_Jan_77,0.0
earliest_cr_line_Jan_78,0.0
earliest_cr_line_Jan_79,0.0
earliest_cr_line_Jan_80,0.0
earliest_cr_line_Jan_81,0.0
earliest_cr_line_Jan_82,0.0
earliest_cr_line_Jan_83,0.0
earliest_cr_line_Jan_84,0.0
earliest_cr_line_Jan_85,0.0
earliest_cr_line_Jan_86,0.0
earliest_cr_line_Jan_88,0.0
earliest_cr_line_Jan_89,0.0
sub_grade_G2,0.0
sub_grade_G3,0.0
sub_grade_G4,0.0
sub_grade_G5,0.0
earliest_cr_line_Jan_90,0.0
earliest_cr_line_Jan_92,0.0
earliest_cr_line_Jan_94,0.0
earliest_cr_line_Jan_95,0.0
earliest_cr_line_Jan_97,0.0
earliest_cr_line_Jan_98,0.0
earliest_cr_line_Jul_00,0.0
earliest_cr_line_Jul_02,0.0
earliest_cr_line_Jul_03,0.0
earliest_cr_line_Jul_04,0.0
earliest_cr_line_Jul_06,0.0
earliest_cr_line_Jul_07,0.0
earliest_cr_line_Jul_08,0.0
earliest_cr_line_Jul_09,0.0
earliest_cr_line_Jul_10,0.0
earliest_cr_line_Jul_11,0.0
earliest_cr_line_Jul_12,0.0
earliest_cr_line_Jul_59,0.0
earliest_cr_line_Jul_62,0.0
earliest_cr_line_Jul_63,0.0
earliest_cr_line_Jul_65,0.0
earliest_cr_line_Jul_66,0.0
earliest_cr_line_Jul_67,0.0
earliest_cr_line_Jul_68,0.0
earliest_cr_line_Jul_69,0.0
earliest_cr_line_Jul_70,0.0
earliest_cr_line_Jul_71,0.0
earliest_cr_line_Jul_72,0.0
earliest_cr_line_Jul_73,0.0
earliest_cr_line_Jul_74,0.0
earliest_cr_line_Jul_75,0.0
earliest_cr_line_Jul_76,0.0
earliest_cr_line_Jul_77,0.0
earliest_cr_line_Jul_78,0.0
earliest_cr_line_Jul_79,0.0
earliest_cr_line_Jul_80,0.0
earliest_cr_line_Jul_81,0.0
earliest_cr_line_Jul_82,0.0
earliest_cr_line_Jul_83,0.0
earliest_cr_line_Jul_84,0.0
earliest_cr_line_Jul_85,0.0
earliest_cr_line_Jul_86,0.0
earliest_cr_line_Jul_88,0.0
earliest_cr_line_Jul_89,0.0
earliest_cr_line_Jul_91,0.0
addr_state_WY,0.0
earliest_cr_line_Jul_93,0.0
earliest_cr_line_Jul_95,0.0
earliest_cr_line_Jul_96,0.0
earliest_cr_line_Jul_97,0.0
earliest_cr_line_Jun_00,0.0
earliest_cr_line_Jun_02,0.0
earliest_cr_line_Jun_03,0.0
earliest_cr_line_Jun_04,0.0
earliest_cr_line_Jun_06,0.0
earliest_cr_line_Jun_07,0.0
earliest_cr_line_Jun_09,0.0
earliest_cr_line_Jun_10,0.0
earliest_cr_line_Jun_11,0.0
earliest_cr_line_Jun_12,0.0
earliest_cr_line_Jun_55,0.0
